Time_s,accX,accY,amk_actual_speed0,amk_actual_speed1,amk_actual_speed2,amk_actual_speed3,dash_se,fl_pot_travel_distance,fr_pot_travel_distance,rl_pot_travel_distance,rr_pot_travel_distance,Pitch,Roll,te_main_APPS,te_main_BPSe,te_main_BPSp,roll_sprung_front,roll_sprung_rear,roll_sprung_total,damper_vel_fl,damper_vel_fr,damper_vel_rl,damper_vel_rr
2718.20751953125,-1.61148,0.000194999999999994,0,0,0,0,11.578313253012,0,0,0,0,5.79428571428571,0.078,0.8,0,0,-0,-0,-0,2.31849056603782,1.54566037735846,0.729625146684757,0.0143116701606832
2718.22045898438,-1.47147,-0.133185,0,0,0,0,11.2590361445783,-0.0300000000000011,0.0199999999999996,-0.00944095038434867,0.000185185185184622,5.7915,0.078,0.8,0,0,0.00247251496500489,0.000549248406112655,0.00151088168598438,0.382803738317817,0.765607476635498,0.397249162405056,0.375581026273925
2718.23364257812,-1.71841428571429,-0.3276,0,0,0,0,10.933734939759,-0.0100000000000016,0.0199999999999996,0.0103773584905618,0.00981132075471436,5.78871428571429,0.078,0.8,0,0,0.00148350897959233,-3.2297002465587e-05,0.000725605988690337,1.531214953271,0.765607476635498,1.12714434060226,0.0141779162339479
2718.24658203125,-1.4248,-0.2067,0,0,0,0,10.6144578313253,0.00999999999999801,0.0399999999999991,0.0200034940600951,-0.000185185185184622,5.7876,0.078,0.8,0,0,0.00148350897959233,-0.0011519264211207,0.00016579127932351,1.14841121495331,1.14841121495318,0,0.758384764591742
2718.259765625,-1.05768,-0.13611,0,0,0,0,10.289156626506,0.0199999999999996,0.0499999999999972,0.0103773584905618,-0.0100000000000016,5.7876,0.078,0.8,0,0,0.00148350897959216,-0.0011626920886049,0.000160408445579167,1.531214953271,0.382803738317817,0,0.368625822083869
2718.27270507812,-1.00152,-0.18057,0,0,0,0,10,0.0499999999999972,0.0299999999999976,0.0200034940600951,-0.00981481481481694,5.7876,0.078,0.8,0,0,-0.000989005986517613,-0.00170137419111813,-0.00134519008886986,0.772830188679229,1.54566037735846,0.00729085083648382,0.386415094339683
2718.28564453125,-0.702928571428571,0.0429,0,0,0,0,10,0.0399999999999991,0.00999999999999801,0.0101886792452817,0,5.7876,0.078,0.8,0,0,-0.00148350897959233,-0.0005813460443623,-0.00103242751204131,0.765607476635498,0.382803738317681,0.758518518518388,0.00708895811697394
2718.298828125,0.0576136363636364,0.285231818181818,0,0,0,0,10,0.0299999999999976,0.0199999999999996,0.000188679245283652,-0.0100000000000016,5.7876,0.078,0.8,0,0,-0.000494502993295554,-0.000581346044362503,-0.000537924518829337,0,0,0.382803738317681,0.389892696434927
2718.31176757812,-0.50856,0.21918,0,0,0,0,10,0.0399999999999991,0.00999999999999801,0.000188679245283652,-0.0101851851851897,5.7876,0.078,0.8,0,0,-0.00148350897959233,-0.000591912347637376,-0.00103771066367768,0.382803738317817,0.382803738317817,0.00722271204375549,0.382803738317681
2718.32495117188,-0.6669,0.270075,0,0,0,0,10,0.0399999999999991,0.00999999999999801,0.000377358490567303,-0.0199999999999996,5.7876,0.078,0.8,0,0,-0.00148350897959233,-0.0011626920886051,-0.00132310053410909,0.765607476635498,1.14841121495331,0.375714780200707,0.368625822083597
